🕘️更新时间,#genre#
2026-07-20 13:01:45,http://183.10.180.133:212/tsfile/live/1035_1.m3u8

🍄┃广东频道,#genre#
广州综合,http://183.10.180.133:212/tsfile/live/1035_1.m3u8
广州综合,http://183.10.180.19:212/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&down=1
广州综合,http://183.10.180.243:202/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&down=1
广州综合,http://tencentplaygzrb01.gztv.com/live/zonghes.m3u8
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=f0147ae6453a80f5989f382368b72aad&txTime=18d00acf487
广州影视,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广州新闻,http://115.29.208.41:34567/gd.php?id=1176
广州新闻,http://115.29.208.41:34567/gd.php?id=gzxw
广州新闻,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广州新闻,http://tencentplaygzrb01.gztv.com/live/xinwen.m3u8
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=f80e5b7654c57c7571a314d94befe320&txTime=19019c051d5
广州竞赛,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广州竞赛,http://8.138.7.223/tv/gzjs.m3u8
广州法治,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
南国都市,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
南国都市,http://tencentplaygzrb01.gztv.com/live/nanguodushi.m3u8
南国都市,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=59b2d3f371597c07d47815034a0e6e78&txTime=19019c65629
南国都市,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de
南国都市,https://tencentplaygsm.gztv.com/live/nanguodushi.m3u8?txTime=6594e9d5&txSecret=e783742d1233ae402ec4566b8537ca17
广州影视频道,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广州电视台影视频道,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广州电视台法治频道,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广州南国都市频道,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
4K南国都市频道,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广州竞赛频道,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广东珠江,http://115.29.208.41:34567/gd.php?id=44
广东珠江,http://115.29.208.41:34567/gd.php?id=1183
广东珠江,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广东珠江,http://198.204.228.26/live/gdzj.m3u8
广东珠江,http://38.75.136.137:98/gslb/dsdqpub/gdzj.m3u8?auth=testpub
广东新闻,http://115.29.208.41:34567/gd.php?id=45
广东新闻,http://115.29.208.41:34567/gd.php?id=1186
广东新闻,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广东新闻,http://198.204.228.26/live/gdxw.m3u8
广东新闻,http://107.150.60.122/live/gdxw.m3u8
广东卫视,http://115.29.208.41:34567/gd.php?id=43
广东卫视,http://115.29.208.41:34567/gd.php?id=1182
广东卫视,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广东卫视,https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4
广东卫视,http://107.150.60.122/live/gdwshd.m3u8
广东民生,http://115.29.208.41:34567/gd.php?id=48
广东民生,http://115.29.208.41:34567/gd.php?id=1185
广东民生,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广东民生,http://183.237.95.108:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=0&authid=0
大湾区卫视,http://115.29.208.41:34567/gd.php?id=51
大湾区卫视,http://115.29.208.41:34567/gd.php?id=1197
大湾区卫视,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
大湾区卫视,http://38b891c9.rossteleccom.net/iptv/LNE7CK973BXBGD/6492/index.m3u8
广东体育,http://115.29.208.41:34567/gd.php?id=47
广东体育,http://115.29.208.41:34567/gd.php?id=1184
广东体育,https://php.946985.filegear-sg.me/mytv265.php?id=CJTV
广东体育,http://rihou.cc:555/tv/[At|]广东体育
广东体育,http://38.75.136.137:98/gslb/dsdqpub/gdty.m3u8?auth=testpub
江门综合,http://115.29.208.41:34567/gd.php?id=jmzh
江门综合,http://115.29.208.41:34567/gd.php?id=1248
